tool	ceagle 	ceagle 	ceagle 	ceagle 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c	true	54.652666999	54.46734793577343	33132544
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c	true	63.017176851	62.80663481913507	36466688
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c	ERROR (3)	26.566713439	26.447813572362065	16818176
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c	ERROR (3)	20.881913915	20.790367184206843	14299136
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c	TIMEOUT	300.78335347	299.1609484022483	110538752
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c	TIMEOUT	300.730488405	300.08946954086423	143912960
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c	ERROR (3)	9.225587236	9.18447647895664	8462336
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c	ERROR (3)	6.528872062	6.50013420637697	7987200
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c	TIMEOUT	300.735073613	299.96037550643086	167673856
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c	ERROR (3)	8.220604592	8.187994165346026	8204288
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c	ERROR (3)	13.056187138	13.000952535308897	10149888
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig1_true-termination.c	ERROR (3)	3.537777678	3.522327745333314	8224768
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c	ERROR (3)	10.183098882	10.137712428346276	8941568
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c	ERROR (3)	10.589133346	10.544181549921632	8949760
C/SV-COMP_Termination_Category/GopanReps-CAV2006-Fig1a_true-termination.c.c	TIMEOUT	300.695498839	300.3342986749485	119468032
C/SV-COMP_Termination_Category/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c	ERROR (3)	24.818309681	24.707404740154743	15163392
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c	true	1.131982043	1.126177323050797	8085504
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig2_false-termination.c	TIMEOUT	300.80390531	299.52711455896497	162676736
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig3_true-termination.c	ERROR (3)	0.056450836	0.30619284976273775	8224768
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c	ERROR (3)	8.168673801	8.133571675978601	8200192
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination.c	ERROR (3)	4.759534232	4.739779497496784	8089600
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c	ERROR (3)	18.075225558	17.993750763125718	13180928
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c	ERROR (3)	1.967664104	1.9781116181984544	8462336
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c	ERROR (3)	79.308209815	78.87087984848768	60874752
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c	ERROR (3)	15.950316891	15.8817327208817	11341824
C/SV-COMP_Termination_Category/HenzingerJhalaMajumdarSutre-POPL2002-LockingExample_false-termination.c	ERROR (3)	25.133058652	25.025537312962115	18436096
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c	TIMEOUT	300.691009229	300.49706889130175	152018944
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination.c	ERROR (3)	1.811569104	1.8042698707431555	8089600
C/SV-COMP_Termination_Category/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c	TIMEOUT	300.802583174	299.54646467324346	174796800
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex1_true-termination.c	true	2.9840907	2.9694440364837646	9195520
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex2_true-termination.c	true	29.640358414	29.51518313307315	22712320
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex3_true-termination.c	true	29.672885497	29.550038309767842	20992000
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex4_true-termination.c	TIMEOUT	300.772636849	299.5722640277818	92745728
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex5_true-termination.c	true	29.751723494	29.621142628602684	22425600
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c	true	30.203965844	30.074953076429665	21102592
C/SV-COMP_Termination_Category/LeikeHeizmann-TACAS2014-Ex9_true-termination.c	ERROR (3)	3.582945181	3.5674285953864455	8060928
C/SV-COMP_Termination_Category/LeikeHeizmann-WST2014-Ex9_true-termination.c	ERROR (3)	0.967929773	0.9632803220301867	8069120
C/SV-COMP_Termination_Category/Masse-VMCAI2014-Fig1b_true-termination.c	ERROR (3)	58.050608717	57.78729582205415	54194176
C/SV-COMP_Termination_Category/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c	ERROR (3)	3.809464598	3.7929330468177795	7925760
C/SV-COMP_Termination_Category/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c	ERROR (3)	3.670584391	3.6540165822952986	8089600
C/SV-COMP_Termination_Category/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c	TIMEOUT	300.829810614	299.14920418709517	240635904
C/SV-COMP_Termination_Category/TelAviv-Amir-Minimum_true-termination.c	ERROR (3)	3.553725047	3.537348384037614	8077312
C/SV-COMP_Termination_Category/Toulouse-BranchesToLoop_true-termination.c	ERROR (3)	6.84573129	6.817320655100048	8085504
C/SV-COMP_Termination_Category/Toulouse-MultiBranchesToLoop_true-termination.c	ERROR (3)	34.816261422	34.668766137212515	22204416
C/SV-COMP_Termination_Category/UrbanMine-ESOP2014-Fig3_true-termination.c	ERROR (3)	3.563986628	3.5479648718610406	8081408
C/SV-COMP_Termination_Category/aaron2_true-termination.c	ERROR (3)	7.261622819	7.230301403440535	8089600
C/SV-COMP_Termination_Category/aaron3_true-termination.c	ERROR (3)	16.430737807	16.362968274392188	11452416
C/SV-COMP_Termination_Category/aviad_true-termination.c	true	5.416148796	5.381352515891194	11722752
C/SV-COMP_Termination_Category/gcd1_true-termination.c	true	1.406470702	1.3985291123390198	8220672
C/SV-COMP_Termination_Category/genady_true-termination.c	true	104.1926273	103.69853167515248	56315904
C/SV-COMP_Termination_Category/joey_false-termination.c	true	0.831364881	0.8262351471930742	8224768
C/SV-COMP_Termination_Category/min_rf_true-termination.c	ERROR (3)	3.598805559	3.5846538757905364	8093696
C/SV-COMP_Termination_Category/svcomp_cstrcmp_true-termination.c	true	0.23923637	0.2381407804787159	8470528
C/SV-COMP_Termination_Category/svcomp_cstrcspn_true-termination.c	true	0.289481407	0.28827608469873667	8617984
C/SV-COMP_Termination_Category/svcomp_cstrlen_true-termination.c	true	0.223035925	0.22215065732598305	8736768
C/SV-COMP_Termination_Category/svcomp_cstrncmp_true-termination.c	true	0.315408953	0.3139170054346323	8593408
C/SV-COMP_Termination_Category/svcomp_cstrpbrk_true-termination.c	true	0.329968834	0.32891886960715055	8613888
C/SV-COMP_Termination_Category/svcomp_cstrspn_true-termination.c	true	0.243618372	0.24254853557795286	8617984
C/SV-COMP_Termination_Category/svcomp_strchr_true-termination.c	true	0.271415263	0.270443944260478	8749056
C/Ton_Chanh_15/Ackermann_false-termination.c	true	294.126311756	293.1413564309478	56356864
C/Ton_Chanh_15/Ackermann_true-termination.c	TIMEOUT	301.011889026	297.2996085109189	102801408
C/Ton_Chanh_15/Binary_Search_true-termination.c	true	1.301672795	1.293768698349595	8155136
C/Ton_Chanh_15/McCarthy91_Recursion_true-termination.c	true	0.334910047	0.333325088955462	8073216
C/Ton_Chanh_15/MutualRecursion_1a_false-termination.c	true	0.376718375	0.37516161520034075	8224768
C/Ton_Chanh_15/MutualRecursion_1b_true-termination.c	true	0.349509829	0.34775165282189846	8056832
C/Ton_Chanh_15/NestedRecursion_1a_false-termination.c	true	0.357555461	0.35604378674179316	8069120
