tool	kittel 	kittel 	kittel 	kittel 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/Ton_Chanh_15/Ackermann_false-termination.c	TIMEOUT	300.794159792	299.60934845078737	35733504
C/Ton_Chanh_15/Ackermann_true-termination.c	TIMEOUT	300.794567264	299.6091524474323	35610624
C/Ton_Chanh_15/Binary_Search_true-termination.c	TIMEOUT	300.68273542	300.6828595912084	290697216
C/Ton_Chanh_15/McCarthy91_Recursion_true-termination.c	TIMEOUT	300.794504307	299.62076602037996	38916096
C/Ton_Chanh_15/MutualRecursion_1a_false-termination.c	ERROR (2)	0.04779992	0.3403572039678693	7888896
C/Ton_Chanh_15/MutualRecursion_1b_true-termination.c	ERROR (2)	0.046532446	0.18204123806208372	8015872
C/Ton_Chanh_15/NestedRecursion_1a_false-termination.c	TIMEOUT	300.799620758	299.57492217142135	36519936
C/Ton_Chanh_15/NestedRecursion_1b_true-termination.c	TIMEOUT	300.794182513	299.61993243545294	36892672
C/Ton_Chanh_15/NestedRecursion_1c_true-termination.c	TIMEOUT	300.095706952	295.26226978283376	52228096
C/Ton_Chanh_15/NestedRecursion_1d_true-termination.c	TIMEOUT	300.794119456	299.6504327263683	35934208
C/Ton_Chanh_15/NestedRecursion_2a_false-termination.c	TIMEOUT	300.793017773	299.6256861789152	32182272
C/Ton_Chanh_15/NestedRecursion_2b_false-termination.c	TIMEOUT	300.799929176	299.5649578468874	26005504
C/Ton_Chanh_15/NestedRecursion_2c_true-termination.c	TIMEOUT	300.792337093	299.5997856222093	30318592
C/Ultimate/4BitCounterPointer_true-termination.c	false(termination)	1.21697785	1.2124722246080637	8413184
C/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c	false(termination)	0.299711496	0.29897359386086464	7843840
C/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c	false(termination)	0.341678094	0.34065052308142185	7852032
C/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c	TIMEOUT	300.683535652	300.7042035572231	67792896
C/Ultimate/Bangalore_true-termination.c	TIMEOUT	300.682285148	300.71071827132255	69935104
C/Ultimate/Cairo_true-termination.c	TIMEOUT	300.685270012	300.7030779616907	87474176
C/Ultimate/Collatz_unknown-termination.c	TIMEOUT	300.682452119	300.6958875320852	169435136
C/Ultimate/Division_false-termination.c	TIMEOUT	300.684648018	300.71147453878075	1470164992
C/Ultimate/Gothenburg_true-termination.c	TIMEOUT	300.68084572	300.7063534995541	65007616
C/Ultimate/LexIndexValue-Array_true-termination.c	false(termination)	0.566931188	0.5650569219142199	8257536
C/Ultimate/LexIndexValue-Pointer_true-termination.c	false(termination)	0.643046892	0.6407057838514447	8540160
C/Ultimate/Lobnya-Boolean-Reordered_true-termination.c	true	0.369683677	0.3685436761006713	7892992
C/Ultimate/Madrid_false-termination.c	false(termination)	0.166671133	0.1662879679352045	7737344
C/Ultimate/Mysore_true-termination.c	true	0.508605862	0.5069420095533133	7860224
C/Ultimate/NonTermination2_false-termination.c	TIMEOUT	300.682273836	300.7247773790732	438796288
C/Ultimate/NonTermination3_false-termination.c	TIMEOUT	300.682846828	300.70029319263995	59908096
C/Ultimate/NonTerminationSimple2_false-termination.c	TIMEOUT	300.684292605	300.70245213620365	87162880
C/Ultimate/NonTerminationSimple3_false-termination.c	TIMEOUT	300.682890588	300.699077215977	71729152
C/Ultimate/NonTerminationSimple4_false-termination.c	false(termination)	0.363515897	0.3624350018799305	7991296
