tool	AProVE 	AProVE 	AProVE 	AProVE 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/aaron3_true-termination.c	TIMEOUT	307.717160612	42.25598668958992	7926996992
C/SV-COMP_Termination_Category/aviad_true-termination.c	TIMEOUT	307.996285341	49.55901784542948	8447365120
C/SV-COMP_Termination_Category/gcd1_true-termination.c	true	74.289270157	12.654483611695468	3842052096
C/SV-COMP_Termination_Category/genady_true-termination.c	TIMEOUT	300.644790191	266.1153718875721	5207613440
C/SV-COMP_Termination_Category/joey_false-termination.c	TIMEOUT	300.3565205	274.0344369215891	3806040064
C/SV-COMP_Termination_Category/min_rf_true-termination.c	true	120.408225427	38.81454952713102	5262516224
C/SV-COMP_Termination_Category/svcomp_cstrcmp_true-termination.c	true	19.355288071	3.7351653650403023	558149632
C/SV-COMP_Termination_Category/svcomp_cstrcspn_true-termination.c	true	68.45662443	12.837387055158615	4368363520
C/SV-COMP_Termination_Category/svcomp_cstrlen_true-termination.c	true	11.122949788	2.51605137437582	386273280
C/SV-COMP_Termination_Category/svcomp_cstrncmp_true-termination.c	true	27.52433913	5.1897117318585515	827559936
C/SV-COMP_Termination_Category/svcomp_cstrpbrk_true-termination.c	true	42.458895419	8.817320982925594	2999607296
C/SV-COMP_Termination_Category/svcomp_cstrspn_true-termination.c	true	63.493007963	11.44325358234346	3540905984
C/SV-COMP_Termination_Category/svcomp_strchr_true-termination.c	true	13.669355289	2.81314370688051	496119808
C/Ton_Chanh_15/Ackermann_false-termination.c	TIMEOUT	306.502243829	53.371319530531764	8674705408
C/Ton_Chanh_15/Ackermann_true-termination.c	true	39.992225662	16.99395965319127	3615150080
C/Ton_Chanh_15/Binary_Search_true-termination.c	ERROR (1)	44.312375382	19.55287375766784	3605753856
C/Ton_Chanh_15/McCarthy91_Recursion_true-termination.c	ERROR (1)	21.302010868	3.915826070122421	732475392
C/Ton_Chanh_15/MutualRecursion_1a_false-termination.c	ERROR (1)	26.232162443	5.153800558298826	1077882880
C/Ton_Chanh_15/MutualRecursion_1b_true-termination.c	true	21.727322624	4.918164835311472	1269379072
C/Ton_Chanh_15/NestedRecursion_1a_false-termination.c	TIMEOUT	302.383350246	56.7121708355844	8427036672
C/Ton_Chanh_15/NestedRecursion_1b_true-termination.c	TIMEOUT	308.37272276	57.632202916778624	8439058432
C/Ton_Chanh_15/NestedRecursion_1c_true-termination.c	true	14.349292037	3.212015480734408	637583360
C/Ton_Chanh_15/NestedRecursion_1d_true-termination.c	TIMEOUT	301.134743526	57.58004320319742	8269852672
C/Ton_Chanh_15/NestedRecursion_2a_false-termination.c	TIMEOUT	308.054996123	40.60180118493736	9049595904
C/Ton_Chanh_15/NestedRecursion_2b_false-termination.c	ERROR (1)	18.425662851	3.727083954960108	629067776
C/Ton_Chanh_15/NestedRecursion_2c_true-termination.c	true	16.739076772	3.4228012543171644	564891648
C/Ultimate/4BitCounterPointer_true-termination.c	true	10.919656018	2.4811271773651242	458698752
C/Ultimate/Arrays01-EquivalentConstantIndices_true-termination.c	true	8.238836816	2.0694926595315337	331915264
C/Ultimate/Arrays02-EquivalentConstantIndices_false-termination.c	ERROR (1)	8.927933757	2.159842886030674	375308288
C/Ultimate/Arrays03-ValueRestictsIndex_true-termination.c	true	14.878415931	2.9660215443000197	540413952
C/Ultimate/Bangalore_true-termination.c	true	11.640822759	2.4508526856079698	385998848
C/Ultimate/Cairo_true-termination.c	true	8.107021725	2.0109232403337955	335663104
C/Ultimate/Collatz_unknown-termination.c	TIMEOUT	300.234171053	279.5682921363041	5147729920
C/Ultimate/Division_false-termination.c	ERROR (1)	11.843494118	2.606812607496977	420941824
C/Ultimate/Gothenburg_true-termination.c	true	38.045812185	8.069746936671436	2006061056
C/Ultimate/LexIndexValue-Array_true-termination.c	true	38.322824358	6.854552028700709	2161500160
